"DIDAT","MIUID","DUDAT","MUUID","BDVER","DMSTO","MMSQU","DDPPY","FJPUB","DDDPY","FJDEL","LUPDT","ASEQN","MGI13MSZKC","MGI13MSZKK","MGI13KSZKK","MGI13JSZKK","MGI13ESZKK"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","糖尿代内","糖尿病・代謝内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","アレ疾内","アレルギー疾患内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腎内","腎臓内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","透","透析科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腎内人透","腎臓内科（人工透析）","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","人透内","人工透析内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","透析内","透析内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","漢アレ","漢方アレルギー科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","気支アレ","気管支アレルギー科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","移内","移植内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","老人内","老人科／老人内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","老年内","老年内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","老心療内","老年心療内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","老年呼内","老年・呼吸器内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","高齢内","高齢者内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","神内","神経内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","心療内","心療内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","物内","物療内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","代内","代謝内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","脂代内","脂質代謝内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","漢内","漢方内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","女内","女性内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","男内","男性内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","脳神内","脳神経内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","思春内","思春期内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","脳内","脳内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","気","気管科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","食","食道科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","気食内","気管食道内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","周産内","周産期内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","不妊内","不妊治療内科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","外","一般外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","甲外","甲状腺外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腫外","腫瘍外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","乳外","乳腺外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","女乳外","女性乳腺外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","外内視","外科（内視鏡）","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","外がん","外科（がん）","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","化療外","化学療法外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","頸外","頚部外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腎外","腎臓外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","心血外","心臓血管外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","循外","循環器外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","血管外","血管外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","心臓外","心臓外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","肝胆膵外","肝臓・胆のう・膵臓外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","肝外","肝臓外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","膵外","膵臓外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","胆外","胆のう外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","胃外","胃腸外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","大腸外","大腸外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","腹外","腹部外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","消外","消化器外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","気食","気管食道科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","肛","肛門科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","肛外","肛門外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","大腸肛外","大腸・肛門外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","食外","食道外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","気食外","気管食道外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","内視外","内視鏡外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","頭頸外","頭頸部外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","呼外","呼吸器外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","胸外","胸部外科","NULL"
"20251120071031","ACU_SYS","NULL","NULL","NULL","NULL","NULL","NULL","0","NULL","0","NULL","NULL","02","NULL","肺外","肺外科","NULL"
